patent_id,claim_number,overall_assessment,elements_total,match,unclear,missing,match_%,result_file
11100151,1,PARTIAL_MATCH,7,3,0,4,42.9,11100151_claim1.json
11100151,11,PARTIAL_MATCH,5,3,0,2,60.0,11100151_claim11.json
11100151,7,NO_MATCH,10,0,0,10,0.0,11100151_claim7.json
11977722,1,NO_MATCH,12,0,0,12,0.0,11977722_claim1.json
11977722,5,NO_MATCH,10,0,0,10,0.0,11977722_claim5.json
6285999,1,NO_MATCH,3,0,0,3,0.0,6285999_claim1.json
6285999,10,NO_MATCH,4,0,0,4,0.0,6285999_claim10.json
6285999,18,NO_MATCH,5,0,0,5,0.0,6285999_claim18.json
6285999,19,NO_MATCH,6,2,0,4,33.3,6285999_claim19.json
6285999,8,NO_MATCH,5,0,0,5,0.0,6285999_claim8.json
6285999,9,NO_MATCH,5,0,0,5,0.0,6285999_claim9.json
8892547,1,NO_MATCH,7,0,0,7,0.0,8892547_claim1.json
8892547,11,PARTIAL_MATCH,5,4,0,1,80.0,8892547_claim11.json
8892547,22,PARTIAL_MATCH,8,1,0,7,12.5,8892547_claim22.json
9904726,1,PARTIAL_MATCH,7,5,0,2,71.4,9904726_claim1.json
9904726,13,PARTIAL_MATCH,8,6,0,2,75.0,9904726_claim13.json
9904726,21,PARTIAL_MATCH,8,6,0,2,75.0,9904726_claim21.json
9922383,1,LIKELY_MATCH,9,9,0,0,100.0,9922383_claim1.json
9922383,9,PARTIAL_MATCH,6,3,0,3,50.0,9922383_claim9.json
